zipCode,Median_Income,Mean,Pop
44502,22820,28021,11984
44503,11713,20553,999
44504,29768,38547,5992
44505,29131,38347,22118
44506,14562,22719,3758
44507,20098,27543,9154
44509,29899,37951,13444
44510,16583,22376,3073
44511,38184,47356,23316
44512,45238,57841,35893
44514,57146,73288,22042
44515,47846,54833,28429
44601,38865,48842,36685
44606,51543,63347,7160
44607,50815,52571,200
44608,48960,55639,2667
44609,45782,51935,4035
44610,41649,61558,251
44611,47114,57373,2088
44612,50319,60434,4951
44613,48718,55445,2244
44614,56565,65075,11746
44615,40343,50022,10950
44618,52098,67898,6650
44620,48191,56273,1403
44621,42586,48369,4742
44622,43588,53446,17793
44624,44732,53369,4366
44625,39672,46927,1449
44626,48164,54106,3104
44627,50025,63121,5878
44628,43162,53742,1058
44629,42036,49011,2281
44632,62307,78170,9346
44633,47011,59336,2316
44634,51516,61630,2372
44637,42107,52657,2475
44638,46747,56950,1470
44640,41053,58534,189
44641,51031,57946,19637
44643,48604,55389,3408
44644,47974,70169,5059
44645,53360,60648,2461
44646,49159,62425,45783
44647,48757,56607,17686
44651,45962,48331,853
44652,59063,73408,76
44653,35368,41607,439
44654,41849,56858,18098
44656,48862,54593,3184
44657,41368,50295,10484
44659,54750,67644,163
44661,47353,57575,156
44662,47062,53388,9773
44663,41624,52185,25531
44666,60181,69305,2808
44667,45305,54251,13811
44669,47121,54776,1474
44670,46447,54115,222
44671,48750,54274,387
44672,38130,45912,5558
44675,43014,52210,1977
44676,46232,57031,4737
44677,52748,62332,2574
44678,48750,54274,120
44680,48224,55785,3688
44681,45838,55275,7541
44682,51216,61708,757
44683,33788,39967,8914
44685,68551,79049,23500
44687,42778,49842,55
44688,49135,57662,3196
44689,46656,53500,674
44690,42778,49842,109
44691,45653,58951,42607
44693,38186,43263,86
44695,36563,52238,1563
44697,54766,65242,235
44699,38446,43796,971
44702,13377,23631,1164
44703,28210,48887,10753
44704,23761,30924,4883
44705,35249,42917,21036
44706,38004,45687,19000
44707,30618,37733,10303
44708,42618,57213,25809
44709,40469,54802,19050
44710,34957,40073,9625
44714,39636,51427,9438
44718,66576,88489,12039
44720,60763,76644,37732
44721,59824,76232,12367
44730,45118,49585,6309
44802,64977,77057,970
44804,56483,70897,1219
44805,43945,53971,32525
44807,44165,50704,2595
44809,53565,58196,307
44811,49625,56781,13048
44813,50768,61437,7424
44814,61689,64440,2919
44815,50923,55138,760
44816,61689,64440,77
44817,50671,56700,1510
44818,45337,54318,2837
44820,42552,50034,19200
44822,51175,56400,2955
44824,47993,64237,4112
44825,48750,58845,60
44826,51996,59174,1596
44827,45225,51623,7435
44828,48791,53856,80
44830,42784,48400,20282
44833,37992,45098,18289
44836,52142,61079,2603
44837,47135,56763,4431
44838,50441,55210,229
44839,62475,72930,12417
44840,45325,55010,2643
44841,51702,57459,795
44842,42396,50781,5956
44843,62127,71609,2473
44844,55528,62841,788
44846,68790,82405,3433
44847,56618,61888,3904
44849,49058,59622,2316
44850,40929,47472,175
44851,48893,60168,5463
44853,56208,61680,1385
44854,48750,58845,1849
44855,61170,63530,1275
44856,52582,58757,134
44857,48137,59687,22892
44859,46478,56627,1546
44861,51080,62302,61
44864,50969,56493,3131
44865,44846,52680,3395
44866,52172,56703,2062
44867,49176,55277,2420
44870,41757,52222,43409
44874,45969,56215,366
44875,45435,54139,14813
44878,49981,58848,3227
44880,53539,58379,2380
44881,52582,58757,54
44882,53062,63794,2973
44883,42993,54822,29703
44887,49420,58830,1110
44889,53291,60348,6242
44890,46183,49728,11873
44901,40595,56266,575
44902,26443,33306,6879
44903,42583,51629,31580
44904,61051,69180,13225
44905,42302,51253,12747
44906,38759,49306,17036
44907,35660,48267,15111
45001,51230,68501,679
45002,55589,70730,11540
45003,36755,45044,491
45005,49901,58142,27785
